Exp Date,Symbol,Contract Name,Last,52W High,52W High Date,52W Low,52W Low Date,52W %Chg,Time
21/05/1990,NGM90,Natural Gas June 1990 Futures,1.557,1.65,04/04/1990,1.525,23/04/1990,-3.89%,21/05/1990
20/06/1990,NGN90,Natural Gas July 1990 Futures,1.51,1.655,17/04/1990,1.505,20/06/1990,-7.65%,20/06/1990
20/07/1990,NGQ90,Natural Gas August 1990 Futures,1.426,1.685,19/04/1990,1.424,20/07/1990,-13.31%,20/07/1990
22/08/1990,NGU90,Natural Gas September 1990 Futures,1.428,1.69,10/05/1990,1.396,01/08/1990,-13.45%,22/08/1990
19/09/1990,NGV90,Natural Gas October 1990 Futures,1.555,1.72,18/05/1990,1.47,27/08/1990,-7.44%,19/09/1990
22/10/1990,NGX90,Natural Gas November 1990 Futures,1.97,1.99,09/10/1990,1.732,11/07/1990,2.07%,22/10/1990
20/11/1990,NGZ90,Natural Gas December 1990 Futures,2.38,2.615,10/10/1990,2.01,10/07/1990,6.97%,20/11/1990
18/12/1990,NGF91,Natural Gas January 1991 Futures,2.046,2.94,10/10/1990,1.99,18/12/1990,-10.66%,18/12/1990
22/01/1991,NGG91,Natural Gas February 1991 Futures,1.538,2.755,11/10/1990,1.501,22/01/1991,-21.81%,22/01/1991
19/02/1991,NGH91,Natural Gas March 1991 Futures,1.395,2,09/10/1990,1.33,14/02/1991,-17.94%,19/02/1991
19/03/1991,NGJ91,Natural Gas April 1991 Futures,1.391,1.8,11/10/1990,1.331,21/02/1991,-12.52%,19/03/1991
22/04/1991,NGK91,Natural Gas May 1991 Futures,1.35,1.78,09/10/1990,1.342,22/04/1991,-12.90%,22/04/1991
22/05/1991,NGM91,Natural Gas June 1991 Futures,1.336,1.8,11/10/1990,1.321,22/05/1991,-17.63%,22/05/1991
20/06/1991,NGN91,Natural Gas July 1991 Futures,1.167,1.81,11/10/1990,1.155,20/06/1991,-28.40%,20/06/1991
23/07/1991,NGQ91,Natural Gas August 1991 Futures,1.195,1.84,11/10/1990,1.06,25/06/1991,-27.58%,23/07/1991
22/08/1991,NGU91,Natural Gas September 1991 Futures,1.42,1.86,12/10/1990,1.07,25/06/1991,-17.44%,22/08/1991
23/09/1991,NGV91,Natural Gas October 1991 Futures,1.8,1.88,18/10/1990,1.15,25/06/1991,3.45%,23/09/1991
24/10/1991,NGX91,Natural Gas November 1991 Futures,1.772,2.04,21/11/1990,1.43,25/06/1991,-8.19%,24/10/1991
20/11/1991,NGZ91,Natural Gas December 1991 Futures,1.987,2.36,06/12/1990,1.665,25/06/1991,-15.81%,20/11/1991
20/12/1991,NGF92,Natural Gas January 1992 Futures,1.695,2.36,03/01/1991,1.68,20/12/1991,-28.18%,20/12/1991
24/01/1992,NGG92,Natural Gas February 1992 Futures,1.046,2.045,04/03/1991,1.02,24/01/1992,-47.70%,24/01/1992
21/02/1992,NGH92,Natural Gas March 1992 Futures,1.249,1.675,06/03/1991,1.045,18/02/1992,-25.43%,21/02/1992
24/03/1992,NGJ92,Natural Gas April 1992 Futures,1.418,1.5,06/09/1991,1.095,18/02/1992,-2.54%,24/03/1992
23/04/1992,NGK92,Natural Gas May 1992 Futures,1.596,1.61,23/04/1992,1.113,18/02/1992,12.79%,23/04/1992
21/05/1992,NGM92,Natural Gas June 1992 Futures,1.685,1.79,20/05/1992,1.137,19/02/1992,15.81%,21/05/1992
